"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Cause","Display Value","Numeric","Low","High","Comments"
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Trachea, bronchus, lung cancers","5782","5782.25080","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Stroke","39 996","39996.39038","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Total","412667 [361254-467988]","412667.00000","361254.00000","467988.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Lower respiratory infections","416 465","416464.91280","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Chronic obstructive pulmonary disease","11 275","11274.58536","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Ischaemic heart disease","43 456","43456.15100","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Trachea, bronchus, lung cancers","877","876.69301","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Stroke","28 899","28898.65613","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Both sexes","Total","500971 [353164-655265]","500971.00000","353164.00000","655265.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Lower respiratory infections","214 456","214456.36660","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Chronic obstructive pulmonary disease","6008","6007.84617","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Ischaemic heart disease","19 239","19238.75525","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Trachea, bronchus, lung cancers","355","354.58561","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Stroke","15 588","15588.39993","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Female","Total","255646 [179352-335076]","255646.00000","179352.00000","335076.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Lower respiratory infections","202 009","202008.53020","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Chronic obstructive pulmonary disease","5267","5266.73904","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Ischaemic heart disease","24 217","24217.39648","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Trachea, bronchus, lung cancers","522","522.10740","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Stroke","13 310","13310.25616","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Angola","Male","Total","245325 [173785-320139]","245325.00000","173785.00000","320139.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Lower respiratory infections","1921","1921.21763","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Chronic obstructive pulmonary disease","1705","1704.65968","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Ischaemic heart disease","20 271","20270.91176","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Trachea, bronchus, lung cancers","2980","2979.87620","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Stroke","9846","9846.06211","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Both sexes","Total","36723 [31053-42363]","36723.00000","31053.00000","42363.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Lower respiratory infections","841","841.09210","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Chronic obstructive pulmonary disease","539","539.07088","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Ischaemic heart disease","6973","6972.58430","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Trachea, bronchus, lung cancers","969","968.55851","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Stroke","4428","4428.20538","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Female","Total","13750 [11424-16319]","13750.00000","11424.00000","16319.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Lower respiratory infections","1080","1080.12553","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Chronic obstructive pulmonary disease","1166","1165.58876","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Ischaemic heart disease","13 298","13298.32803","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Trachea, bronchus, lung cancers","2011","2011.31767","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Stroke","5418","5417.85695","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Albania","Male","Total","22973 [19713-26435]","22973.00000","19713.00000","26435.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Lower respiratory infections","3529","3528.53944","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Chronic obstructive pulmonary disease","4499","4499.24769","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Ischaemic heart disease","31 905","31905.42859","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Trachea, bronchus, lung cancers","1299","1298.68412","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Stroke","10 981","10980.55704","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Both sexes","Total","52212 [46463-58259]","52212.00000","46463.00000","58259.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Lower respiratory infections","946","945.91161","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Chronic obstructive pulmonary disease","472","471.69282","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Ischaemic heart disease","3415","3415.17143","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Trachea, bronchus, lung cancers","317","317.06407","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Stroke","2452","2451.73570","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Total","7602 [6855-8356]","7602.00000","6855.00000","8356.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Lower respiratory infections","2583","2582.62787","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Chronic obstructive pulmonary disease","4028","4027.55493","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Ischaemic heart disease","28 490","28490.25766","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Trachea, bronchus, lung cancers","982","981.62006","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Stroke","8529","8528.82124","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","United Arab Emirates","Male","Total","44611 [39354-50152]","44611.00000","39354.00000","50152.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Lower respiratory infections","66 577","66576.55435","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Chronic obstructive pulmonary disease","45 861","45861.10251","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Ischaemic heart disease","110 673","110672.80970","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Trachea, bronchus, lung cancers","18 757","18757.21506","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Stroke","39 887","39886.56720","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Both sexes","Total","281754 [223056-354045]","281754.00000","223056.00000","354045.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Lower respiratory infections","31 167","31166.92548","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Chronic obstructive pulmonary disease","20 285","20285.23108","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Ischaemic heart disease","39 775","39775.18398","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Trachea, bronchus, lung cancers","6051","6051.26058","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Stroke","17 553","17553.26266","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Female","Total","114832 [88027-147437]","114832.00000","88027.00000","147437.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Lower respiratory infections","35 410","35409.62888","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Chronic obstructive pulmonary disease","25 576","25575.87146","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Ischaemic heart disease","70 898","70897.62531","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Trachea, bronchus, lung cancers","12 706","12705.95455","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Stroke","22 333","22333.30453","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Argentina","Male","Total","166922 [134094-205699]","166922.00000","134094.00000","205699.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Lower respiratory infections","2629","2628.73446","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Chronic obstructive pulmonary disease","3602","3601.51635","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Ischaemic heart disease","26 445","26444.83118","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Trachea, bronchus, lung cancers","5787","5786.71779","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Stroke","5507","5507.13321","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Both sexes","Total","43969 [38237-49916]","43969.00000","38237.00000","49916.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Lower respiratory infections","1103","1103.21989","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Chronic obstructive pulmonary disease","1409","1409.10118","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Ischaemic heart disease","9599","9598.93959","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Trachea, bronchus, lung cancers","914","914.27304","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Stroke","2530","2530.43482","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Female","Total","15556 [12902-18234]","15556.00000","12902.00000","18234.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Lower respiratory infections","1526","1525.51458","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Chronic obstructive pulmonary disease","2192","2192.41515","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Ischaemic heart disease","16 846","16845.89104","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Trachea, bronchus, lung cancers","4872","4872.44493","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Stroke","2977","2976.69831","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Armenia","Male","Total","28413 [24936-32439]","28413.00000","24936.00000","32439.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Lower respiratory infections","110","109.52269","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Chronic obstructive pulmonary disease","42","42.19756","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Ischaemic heart disease","296","296.01084","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Trachea, bronchus, lung cancers","13","12.50425","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Stroke","140","140.21189","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Total","600 [518-696]","600.00000","518.00000","696.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Lower respiratory infections","35","34.63608","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Chronic obstructive pulmonary disease","16","16.05954","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Ischaemic heart disease","120","120.35635","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Trachea, bronchus, lung cancers","5","5.08091","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Stroke","80","80.46525","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Female","Total","257 [223-295]","257.00000","223.00000","295.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Lower respiratory infections","75","74.88661","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Chronic obstructive pulmonary disease","26","26.13803","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Ischaemic heart disease","176","175.65448","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Trachea, bronchus, lung cancers","7","7.42334","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Stroke","60","59.74664","","",""
"Ambient air pollution attributable YLLs","Published","2016","Americas","Antigua and Barbuda","Male","Total","344 [290-404]","344.00000","290.00000","404.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Lower respiratory infections","3646","3645.96680","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Chronic obstructive pulmonary disease","11 488","11488.24064","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Ischaemic heart disease","32 703","32703.04454","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Trachea, bronchus, lung cancers","7843","7842.79416","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Stroke","9333","9332.54709","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Both sexes","Total","65013 [48735-82977]","65013.00000","48735.00000","82977.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Lower respiratory infections","1848","1847.64879","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Chronic obstructive pulmonary disease","5171","5171.15838","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Ischaemic heart disease","10 640","10639.93032","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Trachea, bronchus, lung cancers","3209","3209.17314","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Stroke","4998","4998.48791","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Female","Total","25866 [18537-34969]","25866.00000","18537.00000","34969.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Lower respiratory infections","1798","1798.31816","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Chronic obstructive pulmonary disease","6317","6317.08223","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Ischaemic heart disease","22 063","22063.11482","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Trachea, bronchus, lung cancers","4634","4633.62110","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Stroke","4334","4334.05904","","",""
"Ambient air pollution attributable YLLs","Published","2016","Western Pacific","Australia","Male","Total","39146 [30028-48853]","39146.00000","30028.00000","48853.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Lower respiratory infections","1807","1806.95050","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Chronic obstructive pulmonary disease","7374","7374.03307","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Ischaemic heart disease","30 443","30442.53618","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Trachea, bronchus, lung cancers","7096","7095.71563","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Stroke","5824","5823.54226","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Both sexes","Total","52543 [41460-64167]","52543.00000","41460.00000","64167.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Lower respiratory infections","872","872.46348","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Chronic obstructive pulmonary disease","3136","3136.09635","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Ischaemic heart disease","12 070","12070.28383","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Trachea, bronchus, lung cancers","2765","2765.02817","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Stroke","3085","3085.21847","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Female","Total","21929 [16417-27799]","21929.00000","16417.00000","27799.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Lower respiratory infections","934","934.48700","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Chronic obstructive pulmonary disease","4238","4237.93659","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Ischaemic heart disease","18 372","18372.25204","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Trachea, bronchus, lung cancers","4331","4330.68750","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Stroke","2738","2738.32373","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Austria","Male","Total","30614 [24588-36883]","30614.00000","24588.00000","36883.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Lower respiratory infections","13 804","13804.49275","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Chronic obstructive pulmonary disease","5360","5360.16618","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Ischaemic heart disease","77 151","77150.51367","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Trachea, bronchus, lung cancers","3715","3715.06152","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Stroke","18 286","18285.66727","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Both sexes","Total","118316 [101381-136227]","118316.00000","101381.00000","136227.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Lower respiratory infections","6677","6676.86068","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Chronic obstructive pulmonary disease","2353","2352.97913","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Ischaemic heart disease","27 894","27893.76495","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Trachea, bronchus, lung cancers","724","724.16768","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Stroke","8526","8526.20026","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Female","Total","46174 [38567-53584]","46174.00000","38567.00000","53584.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Lower respiratory infections","7128","7127.63212","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Chronic obstructive pulmonary disease","3007","3007.18713","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Ischaemic heart disease","49 257","49256.74945","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Trachea, bronchus, lung cancers","2991","2990.89378","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Stroke","9759","9759.46718","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Azerbaijan","Male","Total","72142 [61847-83006]","72142.00000","61847.00000","83006.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Lower respiratory infections","165 869","165869.12280","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Chronic obstructive pulmonary disease","6695","6695.41632","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Ischaemic heart disease","22 840","22839.59583","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Trachea, bronchus, lung cancers","445","444.54762","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Stroke","17 712","17711.78308","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Both sexes","Total","213560 [161003-266816]","213560.00000","161003.00000","266816.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Lower respiratory infections","79 724","79724.07422","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Chronic obstructive pulmonary disease","2862","2862.33554","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Ischaemic heart disease","9387","9386.79565","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Trachea, bronchus, lung cancers","219","219.48114","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Stroke","9271","9270.81525","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Female","Total","101464 [76148-127128]","101464.00000","76148.00000","127128.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Lower respiratory infections","86 145","86145.04852","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Chronic obstructive pulmonary disease","3833","3833.08077","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Ischaemic heart disease","13 453","13452.79968","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Trachea, bronchus, lung cancers","225","225.06647","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Stroke","8441","8440.96759","","",""
"Ambient air pollution attributable YLLs","Published","2016","Africa","Burundi","Male","Total","112097 [84829-139688]","112097.00000","84829.00000","139688.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Lower respiratory infections","8817","8816.94117","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Chronic obstructive pulmonary disease","13 952","13951.67531","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Ischaemic heart disease","26 763","26763.36069","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Trachea, bronchus, lung cancers","11 843","11843.41158","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Stroke","9041","9041.47063","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Both sexes","Total","70417 [56001-87539]","70417.00000","56001.00000","87539.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Lower respiratory infections","4332","4331.90119","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Chronic obstructive pulmonary disease","5793","5792.99197","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Ischaemic heart disease","9845","9845.39988","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Trachea, bronchus, lung cancers","3705","3705.37077","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Stroke","4720","4719.60635","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Female","Total","28395 [21860-35934]","28395.00000","21860.00000","35934.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Male","Lower respiratory infections","4485","4485.03975","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Male","Chronic obstructive pulmonary disease","8159","8158.68355","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Male","Ischaemic heart disease","16 918","16917.96054","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Male","Trachea, bronchus, lung cancers","8138","8138.04068","","",""
"Ambient air pollution attributable YLLs","Published","2016","Europe","Belgium","Male","Stroke","4322","4321.86445","","",""
