"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Cause","Display Value","Numeric","Low","High","Comments"
"Ambient air pollution attributable DALYs","Published","2016","Africa","Cameroon","Female","Ischaemic heart disease","27872 [24113–31774]","27871.97424","24112.80078","31774.27930",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Cameroon","Male","Stroke","30491 [26406–34714]","30490.88489","26406.04297","34713.73438",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Democratic Republic of the Congo","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Congo","Female","Trachea, bronchus, lung cancers","89 [55–126]","88.71601","54.57597","126.22293",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Colombia","Both sexes","Trachea, bronchus, lung cancers","15484 [8012–24875]","15484.24519","8011.79932","24874.53906",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Comoros","Male","Stroke","553 [436–673]","552.95530","436.37634","673.01740",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Cabo Verde","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Cabo Verde","Both sexes","Stroke","832 [667–1026]","832.41198","666.69165","1026.08057",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Cuba","Male","Lower respiratory infections","9607 [5043–15148]","9606.91350","5042.93750","15148.17773",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Cyprus","Both sexes","Lower respiratory infections","262 [127–423]","261.50357","126.62243","423.12219",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Cyprus","Both sexes","Trachea, bronchus, lung cancers","859 [450–1370]","859.29335","449.94882","1369.81055",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Czechia","Male","Stroke","8400 [6209–11278]","8399.59689","6209.49951","11277.60449",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Germany","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Germany","Both sexes","Stroke","84682 [54191–144220]","84681.89279","54190.61328","144219.98440",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Denmark","Both sexes","Lower respiratory infections","2524 [735–5153]","2523.61298","734.86505","5153.02832",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Denmark","Both sexes","Trachea, bronchus, lung cancers","5060 [2275–8871]","5059.57507","2274.83838","8871.01660",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Dominican Republic","Male","Stroke","9621 [7356–12057]","9621.14099","7356.08887","12056.71875",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Algeria","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Algeria","Both sexes","Stroke","57173 [47688–68221]","57173.37769","47687.92969","68220.72656",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Egypt","Male","Lower respiratory infections","273653 [217543–328108]","273652.66460","217543.48440","328108.43750",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Egypt","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Eritrea","Both sexes","Lower respiratory infections","60092 [45501–75660]","60091.54449","45501.21094","75659.60156",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Eritrea","Both sexes","Trachea, bronchus, lung cancers","463 [289–650]","462.70331","289.35010","649.51331",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Spain","Male","Stroke","16636 [10823–28321]","16636.44184","10822.92285","28320.82031",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Estonia","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Estonia","Both sexes","Stroke","1285 [792–2300]","1284.77282","792.37292","2300.10718",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Finland","Male","Lower respiratory infections","109 [8–328]","109.04237","7.83934","328.40332",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Finland","Male","Ischaemic heart disease","7339 [4747–10278]","7339.10740","4747.29150","10277.76563",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Fiji","Both sexes","Lower respiratory infections","1054 [332–2080]","1053.69824","331.67831","2079.93530",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","France","Female","Ischaemic heart disease","35717 [22980–49677]","35717.22902","22980.08008","49677.06641",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Micronesia (Federated States of)","Both sexes","Stroke","172 [126–223]","171.60335","126.04520","222.63730",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Gabon","Female","Trachea, bronchus, lung cancers","137 [84–196]","137.41702","84.15257","196.19923",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Male","Lower respiratory infections","21453 [6482–43374]","21453.00450","6482.04199","43374.00391",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","United Kingdom of Great Britain and Northern Ireland","Male","Ischaemic heart disease","101524 [78788–123825]","101523.59890","78788.17188","123825.12500",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Georgia","Both sexes","Lower respiratory infections","3068 [1733–4602]","3067.77562","1732.82690","4602.45361",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Georgia","Female","Stroke","11210 [8070–15817]","11209.97916","8069.50635","15817.05078",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Ghana","Female","Ischaemic heart disease","49745 [42152–57261]","49744.80878","42151.89453","57260.56250",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Guinea","Both sexes","Stroke","24353 [19583–29338]","24352.93945","19582.68555","29337.84570",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Gambia","Female","Trachea, bronchus, lung cancers","25 [14–36]","24.51503","14.38540","35.89814",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Guinea-Bissau","Male","Lower respiratory infections","13241 [8291–18623]","13240.90575","8291.17578","18622.77734",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Equatorial Guinea","Both sexes","Lower respiratory infections","24109 [18550–29987]","24109.31708","18550.36328","29987.22461",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Equatorial Guinea","Female","Stroke","1039 [891–1194]","1039.28100","890.94153","1193.81299",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Greece","Female","Ischaemic heart disease","16699 [11579–21945]","16698.78453","11579.41406","21944.52148",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Grenada","Both sexes","Stroke","157 [119–204]","156.67117","119.48983","203.95293",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Guatemala","Female","Trachea, bronchus, lung cancers","576 [316–880]","575.65558","316.44751","879.88452",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Guyana","Male","Lower respiratory infections","1018 [564–1542]","1017.99309","564.21802","1541.75610",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Honduras","Both sexes","Lower respiratory infections","9029 [4879–13837]","9028.77988","4879.08203","13836.83789",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Honduras","Female","Stroke","2338 [1898–2838]","2338.18472","1898.30005","2838.27686",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Croatia","Female","Ischaemic heart disease","11021 [7741–14427]","11020.69105","7741.49072","14426.77246",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Haiti","Both sexes","Stroke","28734 [22661–35326]","28734.11792","22661.29297","35326.44922",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Hungary","Female","Trachea, bronchus, lung cancers","7899 [4060–12745]","7899.18628","4059.51001","12745.45020",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","India","Both sexes","Lower respiratory infections","9164471 [7310337–10959850]","9164471.25400","7310337.00000","10959850.00000",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","India","Both sexes","Ischaemic heart disease","11714722 [10195324–13327545]","11714721.84000","10195324.00000","13327545.00000",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","India","Female","Stroke","1764138 [1513039–2046107]","1764138.07000","1513038.62500","2046107.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Ireland","Female","Ischaemic heart disease","2682 [1791–3654]","2681.65887","1791.34888","3654.44482",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Iran (Islamic Republic of)","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Iraq","Female","Lower respiratory infections","69338 [54689–84458]","69338.35709","54689.20703","84457.92969",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Iraq","Female","Trachea, bronchus, lung cancers","4312 [2862–5766]","4312.43917","2862.31250","5766.41406",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Iceland","Male","Ischaemic heart disease","331 [225–439]","331.33066","225.34607","438.68533",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Israel","Both sexes","Lower respiratory infections","5915 [3102–9196]","5915.34162","3101.80347","9195.57910",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Israel","Both sexes","Ischaemic heart disease","11207 [8644–13561]","11207.06925","8644.19336","13561.09180",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Israel","Female","Stroke","2316 [1533–3660]","2315.61453","1533.49646","3660.36670",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Jamaica","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Jordan","Female","Lower respiratory infections","7194 [5024–9529]","7193.91937","5024.16895","9528.82227",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Jordan","Female","Trachea, bronchus, lung cancers","420 [250–611]","419.96283","249.62546","610.63446",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Japan","Male","Ischaemic heart disease","157733 [121766–190870]","157733.30300","121766.23440","190870.26560",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Kazakhstan","Both sexes","Lower respiratory infections","14908 [5196–28413]","14907.51801","5195.72656","28413.08008",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Kazakhstan","Female","Stroke","20200 [14594–28173]","20200.15862","14594.49707","28173.16602",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Kenya","Male","Trachea, bronchus, lung cancers","1226 [703–1823]","1225.71879","703.40887","1823.21314",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Kyrgyzstan","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Cambodia","Female","Lower respiratory infections","33046 [20243–47079]","33046.02921","20242.92188","47079.38672",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Cambodia","Female","Trachea, bronchus, lung cancers","1739 [973–2626]","1738.77015","973.01202","2626.38721",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Kiribati","Male","Ischaemic heart disease","230 [184–279]","230.46041","183.72873","278.77460",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Republic of Korea","Male","Trachea, bronchus, lung cancers","41718 [23251–63181]","41717.60102","23251.49805","63181.02734",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Kuwait","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Lao People's Democratic Republic","Female","Lower respiratory infections","20859 [12587–30025]","20858.78511","12587.21191","30025.02734",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Lao People's Democratic Republic","Female","Trachea, bronchus, lung cancers","670 [373–1018]","670.29321","372.55557","1017.72888",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Lebanon","Male","Ischaemic heart disease","34130 [28471–39796]","34130.02603","28470.76172","39796.17578",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Liberia","Female","Stroke","2563 [1974–3184]","2563.03452","1974.30933","3183.77148",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Libya","Male","Trachea, bronchus, lung cancers","3921 [2505–5409]","3920.67769","2504.84009","5409.24365",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Saint Lucia","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Sri Lanka","Female","Lower respiratory infections","6259 [2937–10640]","6258.85416","2936.68237","10640.47949",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Sri Lanka","Female","Trachea, bronchus, lung cancers","795 [404–1297]","794.84710","404.45071","1296.63489",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Sri Lanka","Male","Stroke","14906 [11368–19086]","14905.60391","11368.38574","19086.33984",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Lesotho","Male","Ischaemic heart disease","2512 [2096–2908]","2511.77263","2096.28320","2908.44849",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Lithuania","Female","Stroke","4611 [2800–8315]","4610.85704","2799.52271","8314.97852",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Luxembourg","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Luxembourg","Male","Trachea, bronchus, lung cancers","220 [98–387]","219.54757","97.82698","386.98041",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Morocco","Female","Lower respiratory infections","34750 [24004–46456]","34750.31908","24004.44922","46455.75781",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Morocco","Male","Stroke","20120 [15968–25032]","20120.35587","15968.10059","25032.26953",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Republic of Moldova","Female","Stroke","7588 [5500–10492]","7587.65191","5500.24316","10492.06934",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Madagascar","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Madagascar","Male","Trachea, bronchus, lung cancers","2466 [1339–3809]","2466.35169","1339.38672","3809.12061",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Mexico","Female","Lower respiratory infections","57148 [31887–86693]","57148.08862","31887.42383","86692.67188",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Mexico","Male","Stroke","50795 [40408–62788]","50795.26086","40407.51563","62788.45313",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Republic of North Macedonia","Female","Stroke","5179 [3977–6643]","5178.54942","3977.03467","6643.38330",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Mali","Male","Trachea, bronchus, lung cancers","567 [338–824]","567.17032","337.59467","824.17719",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Malta","Both sexes","Trachea, bronchus, lung cancers","331 [164–547]","331.17419","163.52000","546.86029",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Myanmar","Female","Lower respiratory infections","140668 [100623–183203]","140667.58980","100623.46090","183203.03130",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Myanmar","Male","Stroke","110135 [90859–130537]","110135.08840","90858.71875","130536.75780",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Montenegro","Male","Ischaemic heart disease","2771 [2215–3293]","2771.35725","2215.22046","3293.19751",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Mongolia","Female","Stroke","6922 [5684–8259]","6922.19131","5684.44141","8259.15723",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Mozambique","Male","Trachea, bronchus, lung cancers","656 [352–1020]","655.87730","352.04434","1019.99933",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Mauritius","Female","Lower respiratory infections","326 [133–574]","325.72326","133.46619","574.12512",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Mauritius","Male","Stroke","1644 [1264–2068]","1644.18560","1264.03906","2067.56323",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Malawi","Male","Ischaemic heart disease","11199 [9371–12919]","11199.05069","9370.93457","12918.90332",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Namibia","Male","Trachea, bronchus, lung cancers","117 [64–178]","116.50278","63.96986","178.18585",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Nigeria","Male","Stroke","179174 [153726–206801]","179173.98730","153725.75000","206800.84380",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Nicaragua","Male","Ischaemic heart disease","8135 [6757–9453]","8134.93494","6757.45850","9453.36719",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Nicaragua","Both sexes","Stroke","5009 [3967–6142]","5009.02000","3966.67969","6142.14941",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Netherlands","Male","Lower respiratory infections","3650 [1253–6943]","3649.62058","1253.17920","6942.99121",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Netherlands","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Netherlands","Male","Trachea, bronchus, lung cancers","10188 [4854–17200]","10187.79201","4854.35449","17199.80273",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Norway","Both sexes","Trachea, bronchus, lung cancers","1618 [531–3242]","1617.64186","530.95618","3242.06128",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Nepal","Male","Stroke","51043 [43648–59388]","51043.44684","43648.40234","59387.71484",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","New Zealand","Both sexes","Ischaemic heart disease","6143 [4027–8511]","6143.29774","4026.90576","8511.49121",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Oman","Male","Lower respiratory infections","3171 [2353–4046]","3170.86866","2353.02271","4045.89087",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Oman","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Oman","Male","Trachea, bronchus, lung cancers","565 [348–802]","564.58624","348.23505","801.62677",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Pakistan","Both sexes","Trachea, bronchus, lung cancers","50248 [32986–67838]","50247.69382","32985.54688","67838.02344",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Panama","Female","Ischaemic heart disease","2398 [1842–2919]","2398.25003","1842.13037","2918.60376",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Panama","Male","Stroke","1878 [1379–2555]","1877.80651","1378.80994","2554.53931",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Peru","Both sexes","Stroke","34604 [28616–41239]","34604.27979","28615.86523","41238.64063",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Philippines","Both sexes","Ischaemic heart disease","590681 [492040–692745]","590681.12700","492039.75000","692744.81250",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Palau","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Papua New Guinea","Both sexes","Trachea, bronchus, lung cancers","585 [271–999]","584.50041","270.63660","998.78223",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Poland","Female","Ischaemic heart disease","115421 [84025–147002]","115420.52490","84025.13281","147002.37500",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Poland","Male","Stroke","43921 [34249–54372]","43920.97720","34248.57031","54372.13281",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Democratic People's Republic of Korea","Both sexes","Stroke","166255 [136036–197961]","166255.05350","136036.25000","197961.34380",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Portugal","Both sexes","Ischaemic heart disease","16588 [11599–21573]","16588.01328","11598.62305","21573.10547",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Paraguay","Male","Lower respiratory infections","3469 [1149–6732]","3469.01963","1149.49878","6732.24707",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Paraguay","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Qatar","Both sexes","Trachea, bronchus, lung cancers","954 [682–1215]","953.82074","682.48206","1215.49500",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Romania","Female","Lower respiratory infections","10394 [4425–17916]","10394.03017","4425.26172","17916.25000",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Romania","Female","Ischaemic heart disease","72071 [52484–92304]","72070.79410","52483.52734","92304.35938",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Romania","Male","Stroke","39062 [28825–52831]","39061.65570","28825.18359","52830.67969",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Russian Federation","Both sexes","Stroke","603938 [440878–843684]","603938.32280","440878.00000","843684.25000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Rwanda","Both sexes","Ischaemic heart disease","14912 [12734–17116]","14911.62103","12733.50000","17116.32227",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Saudi Arabia","Male","Lower respiratory infections","38915 [30983–46649]","38914.98866","30983.04297","46648.94141",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Saudi Arabia","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Sudan","Both sexes","Trachea, bronchus, lung cancers","2735 [1742–3781]","2734.57729","1741.75659","3780.52148",""
